"old";"new"
"Phường Phúc Xá";"Phuc Xa"
"Phường Nguyễn Trung Trực";"Nguyen Trung Truc"
"Phường Quán Thánh";"Quan Thanh"
"Phường Trúc Bạch";"Truc Bach"
"Phường Điện Biên";"Dien Bien"
"Phường Kim Mã";"Kim Ma"
"Phường Đội Cấn";"Doi Can"
"Phường Liễu Giai";"Lieu Giai"
"Phường Cống Vị";"Cong Vi"
"Phường Vĩnh Phúc";"Vinh Phuc"
"Phường Ngọc Khánh";"Ngoc Khanh"
"Phường Giảng Võ";"Giang Vo"
"Phường Ngọc Hà";"Ngoc Ha"
"Phường Thành Công";"Thanh Cong"
"Phường Bưởi";"Buoi"
"Phường Thụy Khuê";"Thuy Khue"
"Phường Yên Phụ";"Yen Phu"
"Phường Tứ Liên";"Tu Lien"
"Phường Nhật Tân";"Nhat Tan"
"Phường Quảng An";"Quang An"
"Phường Xuân La";"Xuan La"
"Phường Phú Thượng";"Phu Thuong"
"Phường Cửa Nam";"Cua Nam"
"Phường Trần Hưng Đạo";"Tran Hung Dao"
"Phường Hàng Bài";"Hang Bai"
"Phường Phan Chu Trinh";"Phan Chu Trinh"
"Phường Tràng Tiền";"Trang Tien"
"Phường Hàng Bạc";"Hang Bac"
"Phường Lý Thái Tổ";"Ly Thai To"
"Phường Hàng Buồm";"Hang Buom"
"Phường Đồng Xuân";"Dong Xuan"
"Phường Hàng Đào";"Hang Dao"
"Phường Hàng Mã";"Hang Ma"
"Phường Hàng Bồ";"Hang Bo"
"Phường Cửa Đông";"Cua Dong"
"Phường Hàng Bông";"Hang Bong"
"Phường Hàng Gai";"Hang Gai"
"Phường Hàng Trống";"Hang Trong"
"Phường Phúc Tân";"Phuc Tan"
"Phường Chương Dương Độ";"Chuong Duong Do"
"Phường Nguyễn Du";"Nguyen Du"
"Phường Lê Đại Hành";"Le Dai Hanh"
"Phường Bùi Thị Xuân";"Bui Thi Xuan"
"Phường Phố Huế";"Pho Hue"
"Phường Ngô Thì Nhậm";"Ngo Thi Nham"
"Phường Phạm Đình Hổ";"Pham Dinh Ho"
"Phường Đồng Nhân";"Dong Nhan"
"Phường Đống Mác";"Dong Mac"
"Phường Bạch Đằng";"Bach Dang"
"Phường Thanh Lương";"Thanh Luong"
"Phường Thanh Nhàn";"Thanh Nhan"
"Phường Cầu Dền";"Cau Den"
"Phường Bách Khoa";"Bach Khoa"
"Phường Bạch Mai";"Bach Mai"
"Phường Quỳnh Lôi";"Quynh Loi"
"Phường Quỳnh Mai";"Quynh Mai"
"Phường Vĩnh Tuy";"Vinh Tuy"
"Phường Minh Khai";"Minh Khai"
"Phường Trương Định";"Truong Dinh"
"Phường Đồng Tâm";"Dong Tam"
"Phường Tương Mai";"Tuong Mai"
"Phường Giáp Bát";"Giap Bat"
"Phường Mai Động";"Mai Dong"
"Phường Tân Mai";"Tan Mai"
"Phường Hoàng Văn Thụ";"Hoang Van Thu"
"Phường Thịnh Liệt";"Thinh Liet"
"Phường Định Công";"Dinh Cong"
"Phường Đại Kim";"Dai Kim"
"Phường Vĩnh Hưng";"Vinh Hung"
"Phường Lĩnh Nam";"Linh Nam"
"Phường Hoàng Liệt";"Hoang Liet"
"Phường Yên Sở";"Yen So"
"Phường Trần Phú";"Tran Phu"
"Phường Thanh Trì";"Thanh Tri"
"Phường Văn Miếu";"Van Mieu"
"Phường Cát Linh";"Cat Linh"
"Phường Quốc Tử Giám";"Quoc Tu Giam"
"Phường Văn Chương";"Van Chuong"
"Phường Hàng Bột";"Hang Bot"
"Phường Ô Chợ Dừa";"O Cho Dua"
"Phường Nam Đồng";"Nam Dong"
"Phường Quang Trung";"Quang Trung"
"Phường Trung Liệt";"Trung Liet"
"Phường Thổ Quan";"Tho Quan"
"Phường Khâm Thiên";"Kham Thien"
"Phường Trung Phụng";"Trung Phung"
"Phường Phương Liên";"Phuong Lien"
"Phường Kim Liên";"Kim Lien"
"Phường Phương Mai";"Phuong Mai"
"Phường Trung Tự";"Trung Tu"
"Phường Khương Thượng";"Khuong Thuong"
"Phường Thịnh Quang";"Thinh Quang"
"Phường Ngã Tư Sở";"Nga Tu So"
"Phường Láng Hạ";"Lang Ha"
"Phường Láng Thượng";"Lang Thuong"
"Phường Nhân Chính";"Nhan Chinh"
"Phường Khương Trung";"Khuong Trung"
"Phường Khương Mai";"Khuong Mai"
"Phường Phương Liệt";"Phuong Liet"
"Phường Thượng Đình";"Thuong Dinh"
"Phường Thanh Xuân Trung";"Thanh Xuan Trung"
"Phường Khương Đình";"Khuong Dinh"
"Phường Hạ Đình";"Ha Dinh"
"Phường Thanh Xuân Bắc";"Thanh Xuan Bac"
"Phường Thanh Xuân Nam";"Thanh Xuan Nam"
"Phường Kim Giang";"Kim Giang"
"Phường Nghĩa Đô";"Nghia Do"
"Phường Nghĩa Tân";"Nghia Tan"
"Phường Quan Hoa";"Quan Hoa"
"Phường Mai Dịch";"Mai Dich"
"Phường Dịch Vọng";"Dich Vong"
"Phường Dịch Vọng Hậu";"Dich Vong Hau"
"Phường Yên Hoà";"Yen Hoa"
"Phường Trung Hoà";"Trung Hoa"
"Phường Gia Thụy";"Gia Thuy"
"Phường Ngọc Lâm";"Ngoc Lam"
"Phường Đức Giang";"Duc Giang"
"Phường Việt Hưng";"Viet Hung"
"Phường Ngọc Thụy";"Ngoc Thuy"
"Phường Thượng Thanh";"Thuong Thanh"
"Phường Bồ Đề";"Bo De"
"Phường Giang Biên";"Giang Bien"
"Phường Phúc Đồng";"Phuc Dong"
"Phường Phúc Lợi";"Phuc Loi"
"Phường Long Biên";"Long Bien"
"Phường Sài Đồng";"Sai Dong"
"Phường Thạch Bàn";"Thach Ban"
"Phường Cự Khối";"Cu Khoi"
"Thị trấn Sóc Sơn";"Soc Son"
"Xã Tân Dân";"Tan Dan"
"Xã Thanh Xuân";"Thanh Xuan"
"Xã Minh Trí";"Minh Tri"
"Xã Minh Phú";"Minh Phu"
"Xã Hiền Ninh";"Hien Ninh"
"Xã Quang Tiến";"Quang Tien"
"Xã Phú Cường";"Phu Cuong"
"Xã Phú Minh";"Phu Minh"
"Xã Mai Đình";"Mai Dinh"
"Xã Phù Lỗ";"Phu Lo"
"Xã Đông Xuân";"Dong Xuan"
"Xã Nam Sơn";"Nam Son"
"Xã Bắc Sơn";"Bac Son"
