"var_1";"translate"
"Quận Ba Đình";"Ba Dinh"
"Quận Tây Hồ";"Tay Ho"
"Quận Hoàn Kiếm";"Hoan Kiem"
"Quận Hai Bà Trưng";"Hai Ba Trung"
"Quận Hoàng Mai";"Hoang Mai"
"Quận Đống Đa";"Dong Da"
"Quận Thanh Xuân";"Thanh Xuan"
"Quận Cầu Giấy";"Cau Giay"
"Quận Long Biên";"Long Bien"
"Huyện Sóc Sơn";"Soc Son"
"Huyện Đông Anh";"Dong Anh"
"Huyện Gia Lâm";"Gia Lam"
"Quận Nam Từ Liêm";"Nam Tu Liem"
"Huyện Thanh Trì";"Thanh Tri"
"Quận Hà Đông";"Ha Dong"
"Thị xã Sơn Tây";"Son Tay"
"Huyện Ba Vì";"Ba Vi"
"Huyện Phúc Thọ";"Phuc Tho"
"Huyện Đan Phượng";"Dan Phuong"
"Huyện Thạch Thất";"Thach That"
"Huyện Hoài Đức";"Hoai Duc"
"Huyện Quốc Oai";"Quoc Oai"
"Huyện Chương Mỹ";"Chuong My"
"Huyện Thanh Oai";"Thanh Oai"
"Huyện Thường Tín";"Thuong Tin"
"Huyện Mỹ Đức";"My Duc"
"Huyện Ứng Hòa";"Ung Hoa"
"Huyện Phú Xuyên";"Phu Xuyen"
"Huyện Mê Linh";"Me Linh"
"Quận Bắc Từ Liêm";"Bac Tu Liem"
"Quận Hồng Bàng";"Hong Bang"
"Quận Ngô Quyền";"Ngo Quyen"
"Quận Lê Chân";"Le Chan"
"Quận Kiến An";"Kien An"
"Quận Đồ Sơn";"Do Son"
"Quận Dương Kinh";"Duong Kinh"
"Huyện Thủy Nguyên";"Thuy Nguyen"
"Huyện An Dương";"An Duong"
"Quận Hải An";"Hai An"
"Huyện An Lão";"An Lao"
"Huyện Kiến Thụy";"Kien Thuy"
"Huyện Tiên Lãng";"Tien Lang"
"Huyện Vĩnh Bảo";"Vinh Bao"
"Huyện Cát Hải";"Cat Hai"
"Thành phố Vĩnh Yên";"Vinh Yen"
"Thị xã Phúc Yên";"Phuc Yen"
"Huyện Lập Thạch";"Lap Thach"
"Huyện Tam Đảo";"Tam Dao"
"Huyện Tam Dương";"Tam Duong"
"Huyện Bình Xuyên";"Binh Xuyen"
"Huyện Vĩnh Tường";"Vinh Tuong"
"Huyện Yên Lạc";"Yen Lac"
"Huyện Sông Lô";"Song Lo"
"Thành phố Bắc Ninh";"Bac Ninh"
"Huyện Yên Phong";"Yen Phong"
"Huyện Quế Võ";"Que Vo"
"Huyện Tiên Du";"Tien Du"
"Thị xã Từ Sơn";"Tu Son"
"Huyện Thuận Thành";"Thuan Thanh"
"Huyện Lương Tài";"Luong Tai"
"Huyện Gia Bình";"Gia Binh"
"Thành phố Hải Dương";"Hai Duong"
"Thị xã Chí Linh";"Chi Linh"
"Huyện Nam Sách";"Nam Sach"
"Huyện Thanh Hà";"Thanh Ha"
"Huyện Kinh Môn";"Kinh Mon"
"Huyện Kim Thành";"Kim Thanh"
"Huyện Gia Lộc";"Gia Loc"
"Huyện Tứ Kỳ";"Tu Ky"
"Huyện Cẩm Giàng";"Cam Giang"
"Huyện Bình Giang";"Binh Giang"
"Huyện Thanh Miện";"Thanh Mien"
"Huyện Ninh Giang";"Ninh Giang"
"Thành phố Hưng Yên";"Hung Yen"
"Huyện Văn Lâm";"Van Lam"
"Huyện Mỹ Hào";"My Hao"
"Huyện Yên Mỹ";"Yen My"
"Huyện Văn Giang";"Van Giang"
"Huyện Khoái Châu";"Khoai Chau"
"Huyện Ân Thi";"An Thi"
"Huyện Kim Động";"Kim Dong"
"Huyện Phù Cừ";"Phu Cu"
"Huyện Tiên Lữ";"Tien Lu"
"Thành phố Phủ Lý";"Phu Ly"
"Huyện Duy Tiên";"Duy Tien"
"Huyện Kim Bảng";"Kim Bang"
"Huyện Lý Nhân";"Ly Nhan"
"Huyện Thanh Liêm";"Thanh Liem"
"Huyện Bình Lục";"Binh Luc"
"Thành phố Nam Định";"Nam Dinh"
"Huyện Vụ Bản";"Vu Ban"
"Huyện Mỹ Lộc";"My Loc"
"Huyện Ý Yên";"Y Yen"
"Huyện Nam Trực";"Nam Truc"
"Huyện Trực Ninh";"Truc Ninh"
"Huyện Xuân Trường";"Xuan Truong"
"Huyện Giao Thủy";"Giao Thuy"
"Huyện Nghĩa Hưng";"Nghia Hung"
"Huyện Hải Hậu";"Hai Hau"
"Thành phố Thái Bình";"Thai Binh"
"Huyện Quỳnh Phụ";"Quynh Phu"
"Huyện Hưng Hà";"Hung Ha"
"Huyện Thái Thụy";"Thai Thuy"
"Huyện Đông Hưng";"Dong Hung"
"Huyện Vũ Thư";"Vu Thu"
"Huyện Kiến Xương";"Kien Xuong"
"Huyện Tiền Hải";"Tien Hai"
"Thành phố Ninh Bình";"Ninh Binh"
"Thị xã Tam Điệp";"Tam Diep"
"Huyện Nho Quan";"Nho Quan"
"Huyện Gia Viễn";"Gia Vien"
"Huyện Hoa Lư";"Hoa Lu"
"Huyện Yên Mô";"Yen Mo"
"Huyện Yên Khánh";"Yen Khanh"
"Huyện Kim Sơn";"Kim Son"
"Thành phố Hà Giang";"Ha Giang"
"Huyện Đồng Văn";"Dong Van"
"Huyện Mèo Vạc";"Meo Vac"
"Huyện Yên Minh";"Yen Minh"
"Huyện Quản Bạ";"Quan Ba"
"Huyện Bắc Mê";"Bac Me"
"Huyện Hoàng Su Phì";"Hoang Su Phi"
"Huyện Vị Xuyên";"Vi Xuyen"
"Huyện Xín Mần";"Xin Man"
"Huyện Bắc Quang";"Bac Quang"
"Huyện Quang Bình";"Quang Binh"
"Thành phố Cao Bằng";"Cao Bang"
"Huyện Bảo Lạc";"Bao Lac"
"Huyện Bảo Lâm";"Bao Lam"
"Huyện Hà Quảng";"Ha Quang"
"Huyện Thông Nông";"Thong Nong"
"Huyện Trà Lĩnh";"Tra Linh"
"Huyện Trùng Khánh";"Trung Khanh"
"Huyện Nguyên Bình";"Nguyen Binh"
"Huyện Hòa An";"Hoa An"
"Huyện Quảng Uyên";"Quang Uyen"
"Huyện Phục Hòa";"Phuc Hoa"
"Huyện Hạ Lang";"Ha Lang"
"Huyện Thạch An";"Thach An"
"Thành phố Lào Cai";"Lao Cai"
"Huyện Mường Khương";"Muong Khuong"
"Huyện Bát Xát";"Bat Xat"
"Huyện Si Ma Cai";"Si Ma Cai"
"Huyện Bắc Hà";"Bac Ha"
"Huyện Bảo Thắng";"Bao Thang"
"Huyện Sa Pa";"Sa Pa"
"Huyện Bảo Yên";"Bao Yen"
"Huyện Văn Bàn";"Van Ban"
"Thị xã Bắc Kạn";"Bac Kan"
"Huyện Ba Bể";"Ba Be"
"Huyện Pác Nặm";"Pac Nam"
"Huyện Ngân Sơn";"Ngan Son"
"Huyện Chợ Đồn";"Cho Don"
"Huyện Na Rì";"Na Ri"
"Huyện Bạch Thông";"Bach Thong"
"Huyện Chợ Mới";"Cho Moi"
"Thành phố Lạng Sơn";"Lang Son"
"Huyện Tràng Định";"Trang Dinh"
"Huyện Văn Lãng";"Van Lang"
"Huyện Bình Gia";"Binh Gia"
"Huyện Bắc Sơn";"Bac Son"
"Huyện Văn Quan";"Van Quan"
"Huyện Cao Lộc";"Cao Loc"
"Huyện Lộc Bình";"Loc Binh"
"Huyện Chi Lăng";"Chi Lang"
"Huyện Đình Lập";"Dinh Lap"
"Huyện Hữu Lũng";"Huu Lung"
"Thành phố Tuyên Quang";"Tuyen Quang"
"Huyện Na Hang";"Na Hang"
"Huyện Chiêm Hóa";"Chiem Hoa"
"Huyện Hàm Yên";"Ham Yen"
"Huyện Yên Sơn";"Yen Son"
"Huyện Sơn Dương";"Son Duong"
"Huyện Lâm Bình";"Lam Binh"
"Thành phố Yên Bái";"Yen Bai"
"Thị xã Nghĩa Lộ";"Nghia Lo"
"Huyện Lục Yên";"Luc Yen"
"Huyện Văn Yên";"Van Yen"
"Huyện Mù Cang Chải";"Mu Cang Chai"
"Huyện Trấn Yên";"Tran Yen"
"Huyện Yên Bình";"Yen Binh"
"Huyện Văn Chấn";"Van Chan"
"Huyện Trạm Tấu";"Tram Tau"
"Thành phố Thái Nguyên";"Thai Nguyen"
"Thị xã Sông Công";"Song Cong"
"Huyện Định Hóa";"Dinh Hoa"
"Huyện Võ Nhai";"Vo Nhai"
"Huyện Phú Lương";"Phu Luong"
"Huyện Đồng Hỷ";"Dong Hy"
"Huyện Đại Từ";"Dai Tu"
"Huyện Phú Bình";"Phu Binh"
"Huyện Phổ Yên";"Pho Yen"
"Thành phố Việt Trì";"Viet Tri"
"Thị xã Phú Thọ";"Phu Tho"
"Huyện Đoan Hùng";"Doan Hung"
"Huyện Hạ Hòa";"Ha Hoa"
"Huyện Thanh Ba";"Thanh Ba"
"Huyện Phù Ninh";"Phu Ninh"
"Huyện Lâm Thao";"Lam Thao"
"Huyện Cẩm Khê";"Cam Khe"
"Huyện Yên Lập";"Yen Lap"
"Huyện Tam Nông";"Tam Nong"
"Huyện Thanh Thủy";"Thanh Thuy"
"Huyện Thanh Sơn";"Thanh Son"
"Huyện Tân Sơn";"Tan Son"
"Thành phố Bắc Giang";"Bac Giang"
"Huyện Yên Thế";"Yen The"
"Huyện Tân Yên";"Tan Yen"
"Huyện Lục Ngạn";"Luc Ngan"
"Huyện Hiệp Hòa";"Hiep Hoa"
"Huyện Lạng Giang";"Lang Giang"
"Huyện Sơn Động";"Son Dong"
"Huyện Lục Nam";"Luc Nam"
"Huyện Việt Yên";"Viet Yen"
"Huyện Yên Dũng";"Yen Dung"
"Thành phố Hạ Long";"Ha Long"
"Thành phố Cẩm Phả";"Cam Pha"
"Thành phố Uông Bí";"Uong Bi"
"Thành phố Móng Cái";"Mong Cai"
"Huyện Bình Liêu";"Binh Lieu"
"Huyện Hải Hà";"Hai Ha"
"Huyện Đầm Hà";"Dam Ha"
"Huyện Tiên Yên";"Tien Yen"
"Huyện Ba Chẽ";"Ba Che"
"Huyện Vân Đồn";"Van Don"
"Huyện Hoành Bồ";"Hoanh Bo"
"Huyện Đông Triều";"Dong Trieu"
"Huyện Cô Tô";"Co To"
"Thị xã Quảng Yên";"Quang Yen"
"Huyện Nậm Nhùn";"Nam Nhun"
"Thành phố Lai Châu";"Lai Chau"
"Huyện Mường Tè";"Muong Te"
"Huyện Phong Thổ";"Phong Tho"
"Huyện Tam Đường";"Tam Duong"
"Huyện Sìn Hồ";"Sin Ho"
"Huyện Than Uyên";"Than Uyen"
"Huyện Tân Uyên";"Tan Uyen"
"Thành phố Điện Biên Phủ";"Dien Bien Phu"
"Huyện Nậm Pồ";"Nam Po"
"Thị xã Mường Lay";"Muong Lay"
"Huyện Mường Nhé";"Muong Nhe"
"Huyện Mường Chà";"Muong Cha"
"Huyện Tủa Chùa";"Tua Chua"
"Huyện Tuần Giáo";"Tuan Giao"
"Huyện Mường Ảng";"Muong Ang"
"Huyện Điện Biên";"Dien Bien"
"Huyện Điện Biên Đông";"Dien Bien Dong"
"Thành phố Sơn La";"Son La"
"Huyện Quỳnh Nhai";"Quynh Nhai"
"Huyện Mường La";"Muong La"
"Huyện Thuận Châu";"Thuan Chau"
"Huyện Bắc Yên";"Bac Yen"
"Huyện Phù Yên";"Phu Yen"
"Huyện Mai Sơn";"Mai Son"
"Huyện Sông Mã";"Song Ma"
"Huyện Sốp Cộp";"Sop Cop"
"Huyện Yên Châu";"Yen Chau"
"Huyện Mộc Châu";"Moc Chau"
"Huyện Vân Hồ";"Van Ho"
"Thành phố Hòa Bình";"Hoa Binh"
"Huyện Đà Bắc";"Da Bac"
"Huyện Mai Châu";"Mai Chau"
"Huyện Kỳ Sơn";"Ky Son"
"Huyện Lương Sơn";"Luong Son"
"Huyện Cao Phong";"Cao Phong"
"Huyện Kim Bôi";"Kim Boi"
"Huyện Lạc Thủy";"Lac Thuy"
"Huyện Tân Lạc";"Tan Lac"
"Huyện Lạc Sơn";"Lac Son"
